gamma,line_id,component,weight,mean_Omega,mean_Lambda,cov_11,cov_12,cov_22,covariance_type,seed,bic,fit_time_seconds
0.01,2243,1,0.901226570105524,0.0,0.0,4.6378304113646385,0.014866165650975713,0.0004690073916419576,tied_shape,1008,15464.06465394455,0.18805804196745157
0.01,2243,2,0.09877342989447196,0.0,0.0,61740.54652232591,197.9040004855637,6.243603175318511,tied_shape,1008,15464.06465394455,0.18805804196745157
0.01,1881,1,0.09332190808209767,0.0,0.0,65355.68944461881,5315.989940405768,438.9364051725323,tied_shape,1003,16997.849178954904,0.17923999950289726
0.01,1881,2,0.9066780919179027,0.0,0.0,5.215928155072725,0.4242602570315146,0.03503077962272691,tied_shape,1003,16997.849178954904,0.17923999950289726
0.01,1907,1,0.9052383073924929,0.0,0.0,5.264674879646549,0.4088122628545351,0.03213317464243625,tied_shape,1006,14933.851546373999,0.18271258380264044
0.01,1907,2,0.09476169260750678,0.0,0.0,64304.20525240298,4993.34683741425,392.48354454078947,tied_shape,1006,14933.851546373999,0.18271258380264044
0.01,2923,1,0.07798342145558032,0.0,0.0,78090.77228459691,-169.9935626850159,4.814851995536621,tied_shape,1001,1227.9149619961859,0.1958892084658146
0.01,2923,2,0.9220165785444233,0.0,0.0,2.9075932361721084,-0.0063294563313371745,0.00017927382052736375,tied_shape,1001,1227.9149619961859,0.1958892084658146
0.01,599,1,0.08170735977917798,0.0,0.0,74058.14025523036,649.270578414806,7.457634223675354,tied_shape,1005,1122.0713931158903,0.1889912923797965
0.01,599,2,0.9182926402208224,0.0,0.0,4.426867188457988,0.038810515766531835,0.00044578430047705894,tied_shape,1005,1122.0713931158903,0.1889912923797965
0.01,2491,1,0.9037978402679969,0.0,0.0,4.688714712282214,0.20239197917000917,0.009469561613092174,tied_shape,1004,19539.610973057526,0.17616849951446056
0.01,2491,2,0.09620215973200344,0.0,0.0,63463.09298973756,2739.433252528036,128.17322146930093,tied_shape,1004,19539.610973057526,0.17616849951446056
0.01,228,1,0.09589088401484412,0.0,0.0,63728.06418698253,6349.34240461038,651.6612680817889,tied_shape,1000,20583.620276842634,0.17550429236143827
0.01,228,2,0.904109115985157,0.0,0.0,3.52633707281434,0.3513353464444826,0.0360591101874928,tied_shape,1000,20583.620276842634,0.17550429236143827
0.01,2590,1,0.09585407448587828,0.0,0.0,63750.86614092614,6267.658902128122,634.6996424212047,tied_shape,1000,20333.104655771214,0.17551050055772066
0.01,2590,2,0.9041459255141224,0.0,0.0,3.5266892782339982,0.34672604135134977,0.035111498232474,tied_shape,1000,20333.104655771214,0.17551050055772066
0.01,2579,1,0.9033643877849108,0.0,0.0,4.239509657585435,0.7006515494089978,0.12479973078405189,tied_shape,1008,39050.78070623938,0.1691229585558176
0.01,2579,2,0.09663561221508882,0.0,0.0,63276.40871603981,10457.509803900446,1862.6868224286538,tied_shape,1008,39050.78070623938,0.1691229585558176
0.01,1880,1,0.08205389528471337,0.0,0.0,74558.10235816671,1617.7051326922729,667.2328633169903,tied_shape,1001,32397.60253258234,0.1723163342103362
0.01,1880,2,0.9179461047152854,0.0,0.0,1.5045641320929104,0.03264489092357908,0.013464594754273996,tied_shape,1001,32397.60253258234,0.1723163342103362
0.01,2562,1,0.09107510390310682,0.0,0.0,66304.54248606382,245.70163353909166,2.230070898633333,tied_shape,1000,431.6954697706098,0.20233983360230923
0.01,2562,2,0.9089248960968929,0.0,0.0,4.159181645107547,0.015412484364906403,0.0001398889065682607,tied_shape,1000,431.6954697706098,0.20233983360230923
0.01,3215,1,0.08645611988791477,0.0,0.0,70727.35370585561,320.6087529878685,47.78026305895416,tied_shape,1000,19595.563843474803,0.18260958325117826
0.01,3215,2,0.9135438801120904,0.0,0.0,2.4040026228784543,0.01089740026618323,0.0016240375427200326,tied_shape,1000,19595.563843474803,0.18260958325117826
0.01,1106,1,0.08164872697633874,0.0,0.0,74910.63770300632,-487.3755833712636,82.22789723421127,tied_shape,1001,17213.850931795598,0.17459937557578087
0.01,1106,2,0.9183512730236675,0.0,0.0,1.6731101118055567,-0.010885410160550113,0.001836539249345435,tied_shape,1001,17213.850931795598,0.17459937557578087
0.01,2366,1,0.9128840109453916,0.0,0.0,2.193723518741742,-0.0014493828011133724,8.244404431011181e-05,tied_shape,1007,-4595.214655158452,0.1920433333143592
0.01,2366,2,0.0871159890546078,0.0,0.0,69747.89174738873,-46.08210371495024,2.6212502298634277,tied_shape,1007,-4595.214655158452,0.1920433333143592
0.01,3196,1,0.07962275058152751,0.0,0.0,76804.56698060826,608.8117196147606,48.19690918333765,tied_shape,1005,8657.402866961818,0.19170233327895403
0.01,3196,2,0.9203772494184738,0.0,0.0,1.3516886833715975,0.010714517951973444,0.0008482206108011078,tied_shape,1005,8657.402866961818,0.19170233327895403
0.01,1783,1,0.08503494910539534,0.0,0.0,39589.645306370425,1.6581187499165497,0.022076275028539198,tied_shape,1005,-54579.50842116209,0.18372495751827955
0.01,1783,2,0.9149650508946066,0.0,0.0,0.7777507701305888,3.257425331133376e-05,4.3369521934813154e-07,tied_shape,1005,-54579.50842116209,0.18372495751827955
0.01,928,1,0.08503494910538735,0.0,0.0,39589.6453063768,-1.6581187499170922,0.02207627502854458,tied_shape,1005,-54579.5084211608,0.17706212494522333
0.01,928,2,0.914965050894615,0.0,0.0,0.777750770130702,-3.2574253311343916e-05,4.336952193482306e-07,tied_shape,1005,-54579.5084211608,0.17706212494522333
0.01,859,1,0.0809878515484349,0.0,0.0,37773.42115584124,0.0,0.018886701134570055,tied_shape,1005,-62054.52958786828,0.1910520000383258
0.01,859,2,0.9190121484515634,0.0,0.0,0.5266407079373439,0.0,2.6332022230856083e-07,tied_shape,1005,-62054.52958786828,0.1910520000383258
0.01,1863,1,0.9000500610721764,0.0,0.0,4.373536928525125,-0.11065419033932787,0.0030895198769170062,tied_shape,1004,12305.722668443284,0.18607741594314575
0.01,1863,2,0.09994993892782093,0.0,0.0,60953.48227249197,-1542.174752254736,43.05828397604908,tied_shape,1004,12305.722668443284,0.18607741594314575
0.01,561,1,0.9000500610721762,0.0,0.0,4.3735369285251275,0.11065419033932794,0.0030895198769170084,tied_shape,1004,12305.722668443306,0.22929733246564865
0.01,561,2,0.099949938927821,0.0,0.0,60953.48227249187,1542.1747522547334,43.05828397604901,tied_shape,1004,12305.722668443306,0.22929733246564865
0.01,1825,1,0.0809878515484349,0.0,0.0,37773.42115584124,0.0,0.018886701134570055,tied_shape,1005,-62054.52958786828,0.17208204232156277
0.01,1825,2,0.9190121484515634,0.0,0.0,0.5266407079373439,0.0,2.6332022230856083e-07,tied_shape,1005,-62054.52958786828,0.17208204232156277
0.01,2631,1,0.0809878515484349,0.0,0.0,37773.42115584124,0.0,0.018886701134570055,tied_shape,1005,-62054.52958786828,0.1682708328589797
0.01,2631,2,0.9190121484515634,0.0,0.0,0.5266407079373439,0.0,2.6332022230856083e-07,tied_shape,1005,-62054.52958786828,0.1682708328589797
0.01,2714,1,0.08237467082394556,0.0,0.0,47624.73406910809,-5.200017268417773,0.03375316065210951,tied_shape,1009,-51626.180358165126,0.17136887460947037
0.01,2714,2,0.917625329176055,0.0,0.0,0.8587102263051881,-9.376027168727744e-05,6.085951929942428e-07,tied_shape,1009,-51626.180358165126,0.17136887460947037
0.01,3157,1,0.08237467082394524,0.0,0.0,47624.734069111895,5.2000172684203525,0.03375316065211719,tied_shape,1009,-51626.180358162776,0.17125133238732815
0.01,3157,2,0.9176253291760549,0.0,0.0,0.8587102263052616,9.376027168732446e-05,6.085951929943847e-07,tied_shape,1009,-51626.180358162776,0.17125133238732815
0.01,815,1,0.08099078592151024,0.0,0.0,37773.32881423219,0.5481195188416629,0.018895247588244568,tied_shape,1005,-62048.981474710185,0.16846087481826544
0.01,815,2,0.919009214078494,0.0,0.0,0.5268070161811579,7.644367528520077e-06,2.6352321371837444e-07,tied_shape,1005,-62048.981474710185,0.16846087481826544
0.01,981,1,0.08099078592151027,0.0,0.0,37773.328814232176,-0.548119518839765,0.0188952475882445,tied_shape,1005,-62048.98147471023,0.16900162491947412
0.01,981,2,0.919009214078494,0.0,0.0,0.5268070161811568,-7.644367528493596e-06,2.63523213718373e-07,tied_shape,1005,-62048.98147471023,0.16900162491947412
0.01,1429,1,0.0809878515484349,0.0,0.0,37773.42115584124,0.0,0.018886701134570055,tied_shape,1005,-62054.52958786828,0.16886208299547434
0.01,1429,2,0.9190121484515634,0.0,0.0,0.5266407079373439,0.0,2.6332022230856083e-07,tied_shape,1005,-62054.52958786828,0.16886208299547434
0.01,39,1,0.9061010253393774,0.0,0.0,4.197708058872493,0.05789312580935194,0.0012314870623997378,tied_shape,1006,14213.108840831803,0.1835564998909831
0.01,39,2,0.0938989746606262,0.0,0.0,64970.953665071815,896.0536420667343,19.06061301742831,tied_shape,1006,14213.108840831803,0.1835564998909831
0.01,2713,1,0.9060452042204342,0.0,0.0,3.907101692515687,-0.21293982846767004,0.012813511811325621,tied_shape,1002,21995.823786557437,0.17303208354860544
0.01,2713,2,0.09395479577956496,0.0,0.0,65040.08094092882,-3544.7307925500463,213.3018055154754,tied_shape,1002,21995.823786557437,0.17303208354860544
0.01,112,1,0.9059179741361693,0.0,0.0,3.88478753741175,-0.21013480219425199,0.01243844502514195,tied_shape,1002,21023.36287674421,0.19972533360123634
0.01,112,2,0.09408202586382833,0.0,0.0,64945.96721369873,-3513.038446076147,207.94620941625033,tied_shape,1002,21023.36287674421,0.19972533360123634
0.01,3153,1,0.9116644538893592,0.0,0.0,3.2207105305630055,-0.0006484152785455775,0.0006757454915448112,tied_shape,1004,15085.682286412453,0.23570562526583672
0.01,3153,2,0.08833554611063922,0.0,0.0,69158.06424927531,-13.923370345868326,14.51022986292557,tied_shape,1004,15085.682286412453,0.23570562526583672
0.01,1665,1,0.9143668245810279,0.0,0.0,3.1974937375691406,0.04837494863300152,0.003309190964570587,tied_shape,1004,25246.541805487628,0.17916154116392136
0.01,1665,2,0.08563317541897297,0.0,0.0,71403.65748496946,1080.267405205244,73.89798310166185,tied_shape,1004,25246.541805487628,0.17916154116392136
0.01,590,1,0.0868127791406823,0.0,0.0,70431.06727281485,1127.9144590383717,63.720016521213005,tied_shape,1000,22384.578414306616,0.1842061672359705
0.01,590,2,0.9131872208593166,0.0,0.0,2.9200939152034753,0.04676368364474928,0.0026418516675251083,tied_shape,1000,22384.578414306616,0.1842061672359705
0.01,17,1,0.08729942980916197,0.0,0.0,69966.9641600451,-8.873379133616615,12.782439538948486,tied_shape,1000,13567.450877582729,0.1787527920678258
0.01,17,2,0.9127005701908352,0.0,0.0,3.1705774027514972,-0.0004021002726763637,0.0005792407093942607,tied_shape,1000,13567.450877582729,0.1787527920678258
0.01,333,1,0.08785242376650547,0.0,0.0,69541.18155621395,-2029.1697650348306,75.44868257080674,tied_shape,1009,18051.157605099852,0.18607195932418108
0.01,333,2,0.9121475762334977,0.0,0.0,3.74995087631328,-0.10942130645896159,0.004068507997586614,tied_shape,1009,18051.157605099852,0.18607195932418108
0.01,550,1,0.08342541140250928,0.0,0.0,73081.93576536169,1932.5634621857241,56.88854122876961,tied_shape,1001,7100.579334558096,0.17572833318263292
0.01,550,2,0.9165745885974924,0.0,0.0,3.379822494520204,0.08937532090767314,0.002630926087436321,tied_shape,1001,7100.579334558096,0.17572833318263292
0.01,341,1,0.912840753094493,0.0,0.0,3.4924214472397423,-0.051354617681952146,0.003063011942924602,tied_shape,1002,25240.078087309445,0.1720506241545081
