gamma,generation_seed,line_id,component,weight,mean_Omega,mean_Lambda,cov_11,cov_12,cov_22,covariance_type,init_seed,bic,fit_time_seconds
0.01,45,1,1,0.901762839134446,0.0,0.0,0.17877067052520024,0.03610515263166281,0.008211305307892108,tied_shape,1000,-5439.302912043172,0.18995366618037224
0.01,45,1,2,0.09823716086555602,0.0,0.0,1259.959399540537,254.4658265053423,57.87253174573379,tied_shape,1000,-5439.302912043172,0.18995366618037224
0.01,45,2,1,0.9017628391344461,0.0,0.0,0.1787706705252004,-0.03610515263166291,0.008211305307892144,tied_shape,1000,-5439.302912043172,0.18353345803916454
0.01,45,2,2,0.09823716086555594,0.0,0.0,1259.9593995405378,-254.4658265053429,57.872531745734015,tied_shape,1000,-5439.302912043172,0.18353345803916454
0.01,45,3,1,0.8959657469906717,0.0,0.0,0.22033517767336777,0.003564814831285293,6.628139820103927e-05,tied_shape,1002,-40583.715450560914,0.17338629066944122
0.01,45,3,2,0.10403425300932868,0.0,0.0,1181.8361160463098,19.120990842760587,0.35552085256290616,tied_shape,1002,-40583.715450560914,0.17338629066944122
0.01,45,4,1,0.9158361106507757,0.0,0.0,0.021529680700025904,0.0,0.021529680700025904,spherical,1008,2784.4092959294753,0.21076366677880287
0.01,45,4,2,0.08416388934922003,0.0,0.0,892.1494840042556,0.0,892.1494840042556,spherical,1008,2784.4092959294753,0.21076366677880287
0.01,45,5,1,0.8987899864321914,0.0,0.0,0.16452316818043633,-0.00624312784816462,0.00026504536669359177,tied_shape,1009,-33397.57624341531,0.17648866679519415
0.01,45,5,2,0.10121001356780947,0.0,0.0,1221.3515440127233,-46.34638343738991,1.9675865194232867,tied_shape,1009,-33397.57624341531,0.17648866679519415
0.01,45,6,1,0.8987899864321914,0.0,0.0,0.16452316818043838,-0.0062431278481646455,0.00026504536669359015,tied_shape,1009,-33397.57624341538,0.17663766629993916
0.01,45,6,2,0.10121001356780959,0.0,0.0,1221.3515440127276,-46.34638343738968,1.967586519423257,tied_shape,1009,-33397.57624341538,0.17663766629993916
0.01,45,7,1,0.9145286328947905,0.0,0.0,0.020564357801347858,0.0,1.0282173759587047e-08,tied_shape,1008,-113950.25544922076,0.17044875025749207
0.01,45,7,2,0.08547136710520904,0.0,0.0,724.8331236642971,0.0,0.0003624163806239582,tied_shape,1008,-113950.25544922076,0.17044875025749207
0.01,45,8,1,0.9169958778855135,0.0,0.0,0.022520515684280845,0.0,0.022520515684280845,spherical,1002,3312.1804320804886,0.19456112571060658
